feature,Source
wait,power
worship,power
apologize,power
assist,power
behold,power
browse,power
chase,power
collect,power
comprehend,power
concentrate,power
cram,power
delight,power
desire,power
elaborate,power
envy,power
fill,power
hail,power
jot,power
lug,power
mime,power
mimic,power
nods,power
nuzzle,power
outline,power
peruse,power
please,power
polish,power
reach,power
recall,power
recognize,power
reflect,power
reiterate,power
relieve,power
relishe,power
repulse,power
require,power
touch,power
underestimate,power
adorn,power
aggravate,power
amuse,power
ascend,power
brief,power
dread,power
dwell,power
eyeballs,power
fancy,power
follow,power
hate,power
imitate,power
miss,power
misunderstand,power
radiate,power
repay,power
respect,power
salute,power
sense,power
silhouette,power
stalk,power
struggle,power
subtitle,power
accompany,power
brush,power
chant,power
implore,power
lack,power
massage,power
regard,power
repeat,power
seek,power
shower,power
smell,power
tail,power
unload,power
weather,power
believe,power
compensate,power
compile,power
detect,power
honor,power
incorporate,power
indulge,power
like,power
mingle,power
adore,power
applaud,power
donate,power
entertain,power
evade,power
grieve,power
join,power
mention,power
oblige,power
represent,power
congratulate,power
fulfill,power
obey,power
quote,power
satisfy,power
serve,power
wonder,power
credit,power
defer,power
echo,power
emit,power
seat,power
cites,power
disappoint,power
experience,power
value,power
wish,power
consult,power
dream,power
endure,power
enforce,power
enjoy,power
learn,power
offend,power
pursue,power
admire,power
answer,power
commemorates,power
contract,power
duck,power
practice,power
regret,power
resent,power
shadow,power
undertake,power
achieve,power
cheer,power
depart,power
need,power
pray,power
promote,power
visit,power
beg,power
copy,power
plead,power
tip,power
uphold,power
benefit,power
celebrate,power
constitute,power
greet,power
hope,power
interest,power
lose,power
mind,power
portray,power
predict,power
undergo,power
vote,power
want,power
admit,power
announce,power
appeal,power
ask,power
attend,power
await,power
become,power
call,power
concede,power
contribute,power
explain,power
fan,power
fear,power
guard,power
hear,power
listen,power
note,power
owe,power
prefer,power
receive,power
respond,power
suffer,power
thank,power
trace,power
trust,power
witness,power
